pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
-0.3400842	7	NA	NA	19257	!/name
0.29668733	96	0.27536672	38	142029	!/punct
-0.16696839	2092	-0.20974794	806	4844510	"""/punct"
3.9169104	1	4.8136206	1	41	&/adj
-0.6582315	14	-1.7008755	2	52896	&/name
-1.4075006	1	NA	NA	8058	&/punct
3.4364629	1	NA	NA	62	&Rolf/name
1.0738645	1	NA	NA	662	'/name
0.24123253	1773	0.5121233	936	2720890	'/punct
4.3028817	1	NA	NA	27	'17/num
4.7908053	1	NA	NA	16	'23/num
3.6511197	1	NA	NA	51	'40-'45/name
3.5626004	2	4.467776	2	110	'40-'45/num
0.93838567	1	NA	NA	756	'50/num
6.1708302	1	NA	NA	4	'55/name
6.8639774	1	NA	NA	2	'65+-kaart/noun
4.992175	1	5.9090223	1	13	'68'ers/noun
1.2097354	1	NA	NA	574	'68/noun
0.14324479	1	NA	NA	1666	'80/num
3.783215	1	NA	NA	44	'81/num
7.5571246	1	8.473971	1	1	'87-er/noun
1.0686799	1	NA	NA	662	'93/noun
0.305957	1	NA	NA	1417	'96/noun
0.10402639	1	NA	NA	1737	'97/noun
-0.30066556	1	0.6119558	1	2605	'98/noun
-0.24802391	1	0.66377115	1	2518	'99/noun
7.5571246	1	NA	NA	1	'Spagna'_teken/noun
0.37589845	47	-0.16448726	11	62265	's/adv
-0.35771224	4	-0.840064	1	11206	's/det
-1.121121	3	-0.6226188	2	17963	't/name
1.5123563	1	2.4160175	1	430	(/adj
-0.43964702	1	0.47006556	1	3006	(/noun
-0.8015703	623	-0.7878463	258	2759129	(/punct
2.6187017	1	3.521672	1	143	(/verb
6.1708302	1	NA	NA	4	(mot)_regen/noun
7.5571246	1	8.473971	1	1	(rest)afvalbakken/noun
0.51542866	2	NA	NA	2313	)/noun
-0.78109735	630	-1.0515431	194	2758869	)/punct
-0.70482785	1	0.2029669	1	3950	)/tag
-0.015609785	1	0.89365476	1	2003	***/num
7.5571246	1	8.473971	1	1	***ST39PVBboy***/noun
